ref:mise,operator,brand,lat,lon
23778,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Esso,37.31239,13.58591
37070,GANGI PIETRO ANTONIO,Agip Eni,37.35296,13.84449
23772,DBS SERVIZI PETROLIFERI S.R.L.,Esso,37.44519,13.65966
23779,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Esso,37.60656,12.95824
34517,CURRERI GIUSEPPE,Curreri Carburanti,37.51038,13.06692
30279,BRAGAS S.R.L.,Pompe Bianche,44.89144,8.60165
30280,BRAGAS S.R.L.,Pompe Bianche,44.91903,8.59728
10523,CENTRO CALOR S.R.L.,Pompe Bianche,44.91902,8.59724
10522,CENTRO CALOR S.R.L.,Pompe Bianche,44.89144,8.60168
34881,INZIRILLO SALVATORE ROBERTO,Esso,44.90704,8.64128
38699,TOSCANO ENRICO,Tamoil,44.96713,8.61047
25114,BECCARIA S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA,Q8,44.65863,8.37519
13732,K NET S.R.L.,Kerotris,45.16318,8.40352
30281,BRAGAS S.R.L.,Pompe Bianche,44.71355,8.53238
10524,CENTRO CALOR S.R.L.,Pompe Bianche,44.71356,8.53232
4953,SO.GE.DI DI RATTI FRANCESCO & C. S.A.S.,Agip Eni,44.90662,8.86998
30816,GOLDENGAS - SOCIETA' PER AZIONI,Total Erg,43.49373,13.55365
14664,S.A.C.A.T. - SOCIETA' AUTONOMA CARBURANTI ED AFFINI TERNANA S.R.L.,Pompe Bianche,43.34582,12.86004
34102,EREDI UBALDI MATTIOLI DI UBALDI LAMBERTO,Esso,43.53477,13.04269
25812,LUPOTTO ALESSANDRO,Europam,45.74178,7.32546
34376,KARIBUNI S.A.S. DI CHENAL SIMONE & C.,Agip Eni,45.74277,7.52169
35076,CONTI & C. PRODOTTI PETROLIFERI S.R.L.,Api-Ip,42.04065,13.41229
33645,PETROLIFERA ADRIATICA S.P.A.,Retitalia,42.02587,13.42964
35078,PETROLIFERA ADRIATICA S.P.A.,Retitalia,42.02881,13.42446
36650,D.M. CARBURANTI S.R.L.,Pompe Bianche,41.76697,14.09879
40508,CONTI & C. PRODOTTI PETROLIFERI S.R.L.,Api-Ip,41.88438,13.45151
3516,SARNI S.R.L.,Api-Ip,42.09372,13.34663
5273,BEYFIN S.P.A.,Pompe Bianche,43.44470,11.79685
13974,EREDI FOGGI S.N.C. DI FOGGI ALESSANDRA & C.,Q8,43.41899,11.60945
33713,CARBURANTI VALDARNO SRL,Agip Eni,43.54937,11.56303
39200,B+B DI BONALDO GIANCARLO E C. S.A.S.,Agip Eni,44.87730,8.21464
33219,MONTANELLA & C. SNC DI MONTANELLA LUIGI & FRANCA & C.,Agip Eni,44.91180,8.04042
16261,*SCHETTINO FRANCO,Pompe Bianche,41.14711,15.08330
40067,SIRYUS S.A.S. DI PIERPAOLO SIRICO & C.,Pompe Bianche,41.02604,14.61739
23588,MARANO E BORRELLI S.R.L.,Agip Eni,40.93087,14.83267
21813,GILIBERTI CARBURANTI S.R.L.,Q8,40.93030,14.86783
40513,DIMA S.R.L.,Delta,41.00143,16.85945
30503,MODI - SOCIETA' A RESPONSABILITA' LIMITATA,Dill s,41.08950,16.86289
36110,"IP SERVICES S.R.L.",Api-Ip,41.00683,16.91337
34824,ROA - SOCIETA' COOPERATIVA,Pompe Bianche,40.95969,16.92968
19002,D & D S.R.L.,Esso,40.98842,17.23056
36199,M.D. DI MARINO DAMIANO,Q8,45.66921,9.56052
8207,SUZZI ARIANNA,Api-Ip,45.50130,9.63113
38305,BRITA S.A.S. DI D'AMATO DAVIDE & C.,CP,45.73616,9.74980
31631,F.LLI COLOMBO S.N.C. DI COLOMBO ALESSANDRO,Api-Ip,45.72945,9.52933
22457,DITTA MORZENTI ANTONIO S.R.L.,Pompe Bianche,45.68527,9.72849
29098,MENTULA SRL,Pompe Bianche,45.51150,9.58668
20358,MORES BEPPINO,carsie,45.98347,11.75681
29646,PENTA PETROLI SRL,Esso,41.16873,14.76103
33855,PENTA PETROLI SRL,Pompe Bianche,41.34520,14.79217
40783,G.S. S.R.L,Q8,44.48072,11.36253
9554,VENTURI PAOLO,Q8,44.54050,11.26317
14193,CENACCHI RUDI S.N.C. & C.,Agip Eni,44.70284,11.15494
22708,STAZIONE DI SERVIZIO ESSO DI SALMI GIORGIO,Esso,44.72411,11.14372
18800,MELANDRI GIULIO,Pompe Bianche,44.52461,11.78030
6545,SERVIZI & GESTIONI ITALIA srl,Q8,44.61757,11.66396
20659,DI PIERRO GIOVANNI,Agip Eni,40.62686,17.94137
19015,LOPARCO CARBURANTI S.N.C. DI LOPARCO ANGELO E MICHELE,Agip Eni,40.74854,17.42505
19012,LOPARCO CARBURANTI S.N.C. DI LOPARCO ANGELO E MICHELE,Agip Eni,40.74397,17.43054
38455,ELLEBI S.R.L.,Q8,40.83909,17.35997
15138,GALIANO ANTONIO,Total Erg,40.53815,17.57681
31497,ASSETS MANAGEMENT DI ERARIO LUIGI,Agip Eni,40.48902,17.64321
19239,AGIP SELF - AREA  DI ANGLANI VINCENZO & C. S.N.C.,Agip Eni,40.73276,17.56832
40605,SEMERARO CARBURANTI S.R.L. UNIPERSONALE,Pompe Bianche,40.49355,17.98991
16477,BREAK AND PETROL SERVICE DI MORETTO DEBORAH & C. S.A.S.,Q8,40.46588,17.72864
35935,SOCIETA' IMPRESA SALA AUTOMOBILI S.I.S.A. DI SALA GIANFRANCO E C. SOCIETA' IN ACCOMANDITA SEMPLICE,Retitalia,45.78705,10.26478
9178,VICARDI LUCA,Oil Italia,45.95367,10.29542
24690,MEHDI MUHAMMAD ZAMAN,Esso,45.53090,10.18390
17173,LINETTI SNC DI LINETTI LUIGI E C.,Agip Eni,45.36096,10.33843
3636,GARDA PETROLI DI BELLINI CRISTIAN E ARIANNA S.A.S.,Total Erg,45.44870,10.52895
3635,GARDA PETROLI DI BELLINI CRISTIAN E ARIANNA S.A.S.,Total Erg,45.44775,10.52920
4679,STAZIONE DI SERVIZIO PEROTTI & C. S.N.C.,Agip Eni,45.37914,10.21265
38244,SAFDAR SHERAZ,Esso,45.48231,10.05088
38246,SAFDAR SHERAZ,Esso,45.41372,10.39610
40549,SAFDAR SHERAZ,Esso,45.31164,9.99873
39439,SAFDAR SHERAZ,Esso,45.70737,10.40159
3514,SARNI S.R.L.,Total Erg,41.25159,16.21925
39575,FANIZZI ANTONELLO,Esso,41.32007,16.26451
41150,AUTO - PLOSE SADOBRE SRL,Pompe Bianche,46.86881,11.48394
30513,AUTO - PLOSE SADOBRE SRL,Pompe Bianche,46.86799,11.48440
27291,WVZ SNC DI ZUCOL PIETRO & CO.,Esso,46.35363,11.31103
9525,GANDER MICHEL,Agip Eni,46.67349,11.07534
10059,MAGGI MAURO,Esso,39.22652,9.24040
39602,ZONA FRANCO DI FRANCESCO PALMAS S.A.S.,Retitalia,39.23821,9.18014
20877,ZENAT DI ZEZZA FLORA E C. SOCIETA' IN ACCOMANDITA SEMPLICE,Total Erg,41.73131,14.52716
22808,LICURSI MATTEO,Retitalia,41.71142,14.98738
36339,TRAGEN S.R.L.,Pompe Bianche,41.07245,14.31833
20633,DELTA PETROLI S.A.S. DI FELACO ANTONIO & C.,Api-Ip,41.08150,14.34684
40486,IP SERVICE S.R.L.,Esso,40.99983,13.96960
28754,COPPOLA PETROLI S.R.L.,Pompe Bianche,41.01433,13.95745
19199,TRAGEN S.R.L.,Pompe Bianche,41.07818,14.27840
20710,TRAGEN S.R.L.,Pompe Bianche,41.05120,14.29093
33104,TRAGEN S.R.L.,Pompe Bianche,41.03202,14.39573
3654,D.G. CARBURANTI s.a.s.,Shell,41.04918,14.32200
31111,PELLINI S.R.L.,Total Erg,41.34093,14.38947
40273,GESTIONE IMPIANTI SOCIETA' A RESPONSABILITA' LIMITATA,Blu Fuel,40.96636,14.23739
14923,TRAGEN S.R.L.,Pompe Bianche,41.08216,14.25015
20836,ELVY S.R.L.,Pompe Bianche,40.97551,14.15209
22262,TRAGEN S.R.L.,Pompe Bianche,41.15081,14.17790
40976,COSTANTINI GIUSEPPE,Agip Eni,42.35975,14.21655
25641,X FUEL S.R.L.,Pompe Bianche,42.10649,14.37329
31550,GRANATA GIANFRANCO,Esso,42.07070,14.76444
9793,ALFIERI ELVIO CLAUDIO,Agip Eni,37.18905,14.18582
39848,ITALIANO SRL SEMPLIFICATA UNIPERSONALE,Pompe Bianche,37.07157,14.25205
39206,PRONINO DIEGO,Agip Eni,44.70195,8.02902
5569,PETROLTERMICA COMAC - OLCEA S.P.A.,Pompe Bianche,44.68476,7.82904
29799,CALO' MASSIMILIANO,Agip Eni,44.48385,7.89174
25036,GESTIONI INNOVATIVE ITALIA S.R.L.,Agip Eni,44.69854,7.68406
37889,BENZOIL SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Pompe Bianche,44.62847,7.36306
30283,BRAGAS S.R.L.,Pompe Bianche,44.62708,7.50742
19479,NOVENA ALESSANDRA,Esso,44.65461,7.48822
30282,BRAGAS S.R.L.,Pompe Bianche,44.68444,7.57154
40552,C.P.P. COMPAGNIA PETROLIFERA PIEMONTESE - S.R.L.,Total Erg,44.53599,7.54759
14838,ARDENTE ANTONIO,Total Erg,45.73267,9.11943
41027,SOLERTI ILARIA,Agip Eni,45.79043,9.08383
16774,SFORZIN E MINNELLA S.N.C.,Pompe Bianche,45.70201,9.13857
30948,MARZIO PROSPERO DAVIDE,Tamoil,45.35775,9.66921
39920,KEROPETROL S.P.A.,KEROPETROL,45.28134,9.71115
12357,LOV DI LOVERO GIANPAOLO & C. S.N.C.,Total Erg,45.14019,10.37099
40874,ROMANI MANUEL,Total Erg,45.13133,10.19291
40828,FULGORGAS SUD S.R.L.,Q8,39.76085,16.46218
40827,FULGORGAS SUD S.R.L.,FulgorOil,39.76085,16.46218
31592,ESSEGI DI LORIS RICCIO,Esso,39.29848,16.24743
13321,MIGLIANO & C. S.A.S. DI MIGLIANO MASSIMO,Tamoil,39.45092,16.12767
28731,BFUEL CS01 SRL,Pompe Bianche,39.37935,16.21230
36750,COSCARELLA S.N.C. DI COSCARELLA FABIO,Agip Eni,39.35326,16.24360
3793,RENDESE PETROLI S.R.L.,Api-Ip,39.34516,16.23467
29288,ENERGY SERVICE DI MILENA MARGHERITA & C.S.A.S.,Pompe Bianche,39.57214,16.36507
28497,ALOIA GIUSEPPE,Esso,39.88344,16.54802
33274,CARBOMIX - S.R.L.,Agip Eni,37.60493,15.15814
37726,SICILPETROLI S.R.L.,Esso,37.66415,15.16571
30763,GESTIONI INNOVATIVE ITALIA S.R.L.,Agip Eni,37.58843,15.16633
23960,SERVIZI INTEGRATI S.R.L.,SP Energia Siciliana,37.60358,14.98808
35630,ENI FUEL S.P.A.,Agip Eni,37.52523,15.07496
31146,SERVIZI INTEGRATI S.R.L.,SP Energia Siciliana,37.50129,15.06736
27917,PETROL COMPANY  S.R.L.,Agip Eni,37.46082,15.02832
33267,"SOGECAR S.R.L.",Esso,37.53532,15.07490
33269,"SOGECAR S.R.L.",Agip Eni,37.72735,15.19573
33483,PETROL COMPANY  S.R.L.,Agip Eni,37.54752,15.06609
23858,SERVIZI INTEGRATI S.R.L.,Esso,37.75285,15.18272
29543,PETROL COMPANY  S.R.L.,Esso,37.76148,15.21600
5147,NUOVA SIDAP  S.R.L.,Esso,37.47733,15.01445
37996,SICILPETROLI S.R.L.,Esso,37.72624,15.20600
25655,SERVIZI INTEGRATI S.R.L.,SP Energia Siciliana,37.57482,15.08801
24412,SERVIZI INTEGRATI S.R.L.,SP Energia Siciliana,37.58877,15.09720
37727,SICILPETROLI S.R.L.,Agip Eni,37.56828,15.09015
30881,SERVIZI INTEGRATI S.R.L.,SP Energia Siciliana,37.62620,15.08118
23771,DBS SERVIZI PETROLIFERI S.R.L.,Esso,37.57842,15.12244
23768,DBS SERVIZI PETROLIFERI S.R.L.,Esso,37.38298,14.37018
33155,CATANIA NICOLA,Agip Eni,44.22931,12.02278
8382,MAGNANI MAURO,Repsol,44.23170,12.01743
24742,T.D.M. S.R.L.,Tamoil,44.15574,12.43305
14803,ZERBINATI MASSIMO & C. S.A.S.,Agip Eni,44.90043,11.40474
8860,STAZIONE DI SERVIZIO CAMPI DI VILLANI GIOVANNI & C. SNC,Agip Eni,44.90428,11.81039
37908,SG PETROLI S.R.L.,Pompe Bianche,44.93504,11.74911
38444,SIRIUS PETROLI S.R.L.,Pompe Bianche,41.30762,15.49008
38751,S.AM.IN.A. S.R.L.,Total Erg,41.26546,15.88841
32721,PENTA PETROLI SRL,Esso,41.39756,15.65695
36180,S.AM.IN.A. S.R.L.,Total Erg,41.45486,15.53637
32284,CALOR SUD S.R.L.,Pompe Bianche,41.50237,15.35272
37278,S.AM.IN.A. S.R.L.,Total Erg,41.32571,15.71020
33785,ENERGY GROUP - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Pompe Bianche,41.66123,15.37401
38165,ENERGY GROUP - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Api-Ip,41.64551,15.42460
36189,S.AM.IN.A. S.R.L.,Total Erg,41.28658,15.76910
26783,EWAGRILL DI SALZILLO VINCENZO & C S.N.C.,Pompe Bianche,41.86072,16.17356
40360,M.A.B.E SERVICE DI AGLIETTI MARCO E BARBIERI EMILIANO SNC,Agip Eni,43.61191,11.48224
22332,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,43.76673,11.18567
15336,PRONTERA GABRIELE,Esso,43.77821,11.26823
28969,NANNONI DAVIDE,Esso,43.84131,11.18737
13749,ACEMA S.P.A.,OIL ONE,43.24991,13.74586
19801,GIEFFE SERVIZI S.R.L.,Agip Eni,41.73826,13.33640
8647,CORO S.R.L.,Total Erg,41.58496,13.57417
25971,LA ROCCA PETROLI S.R.L.,Repsol,41.64498,13.74702
9578,FERRARA LUISA,Tamoil,41.38289,13.68801
34106,AREA DI SERVIZIO GE.IM. DI GIZZI FABRIZIO,Tamoil,41.65787,13.35345
31177,X FUEL S.R.L.,Pompe Bianche,41.54272,13.27883
29330,GESTIONI INNOVATIVE ITALIA S.R.L.,Agip Eni,41.67641,13.56757
33238,VISCA GIAMPAOLO,Tamoil,41.61682,13.52854
25972,LA ROCCA PETROLI S.R.L.,Pompe Bianche,41.71133,13.56987
35222,DUE ESSE S.R.L.,Agip Eni,44.40468,8.95527
3820,EMMETRE DI MENSI LUCA E MENSI DAVIDE & C. S.A.S.,Total Erg,44.45511,8.74433
16939,VI.VA. S.A.S. DI ANTONIO VILARDI & C.,Api-Ip,42.42472,11.41609
18725,FERRARI BATTISTINA,Europam,44.04401,7.91822
41209,AREA DI SERVIZIO DI SAVAIANO CARMELINA,Esso,41.59859,14.10023
41242,AREA DI SERVIZIO DI SAVAIANO CARMELINA,Esso,41.59859,14.10023
22437,SPAGNOLO FILIPPO,Agip Eni,40.01017,18.39299
41068,MUSUMECI RONZINO,Pompe Bianche,40.05909,18.03846
40458,SELECAR S.A.S. DI PALUMBO FORTUNATO & C.,Esso,40.36525,18.14464
15192,EST SERVICE - SOCIETA' A RESPONSABILITA' LIMITATA,Api-Ip,40.32880,18.19317
40461,SELECAR S.A.S. DI PALUMBO FORTUNATO & C.,Esso,40.33500,18.16694
32632,AVIO LAMP DI GIANNELLI EMANUELE & C. S.A.S.,Api-Ip,39.96964,18.12081
27000,ALEMANNO LUCIA,Api-Ip,40.29403,17.85947
22375,NICOLETTI ANTONIO,Agip Eni,40.04450,18.12614
30034,AVIO LAMP DI GIANNELLI EMANUELE & C. S.A.S.,Pompe Bianche,39.95030,18.03233
21832,R&G DI DE IACO GIOVANNI,Api-Ip,39.98526,18.25518
40251,RE-ENERGY S.R.L.,Pompe Bianche,40.38813,17.95670
26807,NON SOLO CARBURANTI S.A.S. DI GALLO CARMELINA  &  C.,Api-Ip,39.95970,18.23882
40601,LA SAN GIORGIO S.R.L.S. - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Camer,39.97611,18.08653
36927,GAAR S.R.L.,Agip Eni,39.93294,18.14850
32641,CARBURANTI TOSCANA S.R.L.,Total Erg,43.54058,10.30194
11180,ZAMPIERI ALESSANDRO,Agip Eni,45.27343,9.52448
6141,DI BIASIO DOMENICO,Api-Ip,41.35340,13.43103
30835,EUROGAS CENTROITALIA S.R.L,Pompe Bianche,41.21526,13.55880
33210,AL-GEDI S.R.L.,Esso,41.47393,12.86641
24205,TIBER OIL S.R.L.,Agip Eni,41.47795,12.91070
31185,TRAGEN S.R.L.,Pompe Bianche,41.26438,13.69175
39089,TECNOAUTO DI ROMANATO DANIELE,Retitalia,41.41171,13.04201
36644,LA SOSTA S.R.L.,Pompe Bianche,41.24447,13.07199
18242,NEW ENERGY S.R.L,Pompe Bianche,41.30923,13.73741
32957,GESTIONE ITALIA SOCIETA' A RESPONSABILITA' LIMITATA,Blu Fuel,41.36506,13.19295
33734,GESTIONE ITALIA SOCIETA' A RESPONSABILITA' LIMITATA,Blu Fuel,41.28575,13.19316
32509,D.R. SNC DI DEGL'INNOCENTI LORENZO E RAMACCIOTTI MARCO,Tamoil,43.86101,10.58239
34024,NAPOLI GRAZIANO,Q8,43.88378,10.64783
22112,NAPOLI GRAZIANO,Q8,43.87928,10.59609
17352,ZIBOLI SABRINA,Tamoil,43.89326,10.55072
32679,D.R. SNC DI DEGL'INNOCENTI LORENZO E RAMACCIOTTI MARCO,Tamoil,43.84142,10.58321
32529,SAETTINI SILVIO,Tamoil,43.88234,10.57590
38605,ALA CARBURANTI S.R.L.,Api-Ip,43.94352,10.22626
32573,ULIVI EMILIANO,Total Erg,43.95316,10.19943
4611,GELSOMINO RAFFAELE,Total Erg,45.66176,9.22442
18941,R.A.M.M. DI CREMONESI MARIO VITTORIO,Pompe Bianche,45.59666,9.32138
38033,VIGNATO GINO MAURO,Api-Ip,45.62097,9.22353
30078,FM CHIMICA DI FALCIONI PAOLA,Pompe Bianche,43.25027,12.97036
37994,PETROLIFERA ADRIATICA S.P.A.,Esso,43.42504,13.66385
10240,SEVERINI E RICCETTI DI SEVERINI ARMANDO E RICCETTI IVANO S.N.C.,Q8,43.40525,13.56380
34361,PETROL COMPANY  S.R.L.,Pompe Bianche,37.84490,14.71099
38836,GIGLIA SANTA MARIA  E MANGIONE FRANCESCO S.N.C.,Pompe Bianche,38.12059,14.78637
35306,SICILPETROLI S.R.L.,Esso,37.98454,15.36187
11308,VINPE SERVIZI S.P.A.,Retitalia,45.52886,9.18959
40850,GESTIONI INNOVATIVE ITALIA S.R.L.,Agip Eni,45.52512,9.26557
32664,AMATO FRANCESCO,Retitalia,45.53590,9.27469
25151,CORO S.R.L.,Total Erg,45.50022,9.03062
3555,Nuova Sidap SRL,Esso,45.55997,9.03912
4568,CASOLO S.N.C. DI CASOLO IVANO & C.,Agip Eni,45.48027,9.10116
35069,SIMEONE PASQUALINO,Esso,45.51656,9.20695
33643,M.G. S.N.C. DI MARA GEMELLI E GIUSEPPE CANNONE,Esso,45.43943,9.22476
40321,GREEN FUEL COMPANY S.P.A.,Q8,45.47099,9.25379
35081,ZAMO' ANDREA MASSIMO,Esso,45.44384,9.11624
3775,SQ Petrol S.a.s. di Squeri Egidio & C.,Q8,45.32231,9.37571
32852,SALVETTI RETE S.R.L.,Ies,45.06672,10.84420
32854,SALVETTI RETE S.R.L.,Ies,45.05952,10.84029
38684,I.B.M. DI BOSCO ILARIA E MATTEO S.A.S.,Tamoil,44.92907,10.91586
35327,DANESE MASSIMO,Api-Ip,45.27041,10.76786
34154,BRIXIA FINANZIARIA S.R.L.,Esso,44.80317,11.13495
20259,L.B BENZ DI BARONI LORENZA,Api-Ip,44.56003,10.85318
40784,G.S. S.R.L,Ego,44.59988,10.96935
