ref:mise,operator,brand,lat,lon
15752,CORIANI & RUGGI DI CORIANI ROSSANO & C. S.N.C.,Total Erg,44.35722,10.62214
10698,"SAVIOLI ODDINO S.N.C. DI SAVIOLI LAMBERTO & C.",Pompe Bianche,44.89105,10.90173
8703,BORTOLOTTI SILVANO & C. S.A.S.,Pompe Bianche,44.20091,10.61632
9472,BERTELLONI CLAUDIO,Total Erg,44.05460,10.06605
35615,DELLI PAOLI GIACOMO,Total Erg,44.05703,10.06490
34905,ENI FUEL S.P.A.,Agip Eni,40.92736,14.35898
40132,ANTONIA S.R.L.,Repsol,40.94484,14.30380
38510,FEDERICO GIOVANNI,Total Erg,40.75835,14.47181
8785,IOVINO S.A.S. DI IOVINO ASSUNTA & DONATELLIS CLAUDIO,Esso,40.94481,14.29909
30397,OCEANIA S.R.L.,Q8,40.91230,14.28705
31867,RUSSO NUNZIO,Pompe Bianche,40.93669,14.25576
24554,MARCIA VITTORIO,Esso,40.61234,14.34319
19210,MARCHITTO ANTONIO,Pompe Bianche,40.88750,14.24991
32206,G.I.C.A.  S.N.C.  GESTIONI IMPIANTI CARBURANTI AUTOSTRADALI DI PA SQUALE MOIO & C.,Q8,40.88919,14.22540
40209,SIRIUS PETROLI S.R.L.,Pompe Bianche,40.88266,14.52974
22356,GALASSO GIUSEPPINA,Q8,40.79631,14.54582
31616,GESTIONI INNOVATIVE ITALIA S.R.L.,Agip Eni,40.90872,14.37870
10289,NUOVA FUEL CALOR S.R.L.,Pompe Bianche,40.86437,14.13051
14439,LOMBARDI RAFFAELA,Esso,40.92346,14.47304
37925,CELENTANO MICHELE,Pompe Bianche,40.62945,14.39444
30396,OCEANIA S.R.L.,Q8,40.74539,14.47350
41051,D.A.R.M. PETROLI S.R.L.,Agip Eni,45.63672,8.62204
36304,PETROLIFERA ADRIATICA S.P.A.,Retitalia,41.07852,9.38971
34702,MANCINO FRANCESCO,Q8,38.08601,13.50563
24407," PETROLI S.R.L. ",Q8,38.06508,13.46142
31688,DBS SERVIZI PETROLIFERI S.R.L.,Esso,38.13922,13.34397
21413,DELL'ACQUA SALVATORE,Agip Eni,38.14088,13.35121
38174,G P SOCIETA' A RESPONSABILITA' LIMITATA E  IN ABBREVIAZIONE G P S.R.L.,Agip Eni,38.18816,13.28872
38003,PAGANI CESARE,KEROPETROL,44.99496,9.92335
38602,PAGANI CESARE,KEROPETROL,44.99496,9.92335
35033,BUDRIO SERVICE DI GJONZENELI KRENAR BARDHO,Pompe Bianche,45.03618,9.67087
38349,FACCO STEFANO,Total Erg,45.26740,11.72135
36474,SEVARIN LUCIO,Tamoil,45.23684,11.86135
15205,BENEDUSI SIMONE,Europam,45.19509,11.59021
11982,F.LLI CHIAPPERIN S.N.C. DI CHIAPPERIN GIOVANNI & MATTEO,Costantin,45.20386,11.78291
35313,RUZZA LUCIANO,Repsol,45.32285,11.99748
40507,CONTI & C. PRODOTTI PETROLIFERI S.R.L.,Api-Ip,42.34954,13.96608
14734,ENNIO LAURETI S.R.L.,Api-Ip,42.34546,14.11258
26732,DI BIASE VINCENZO,Esso,42.29925,14.04710
33797,CONTI & C. PRODOTTI PETROLIFERI S.R.L.,Api-Ip,42.50717,14.15746
40932,PETROLIFERA ADRIATICA S.P.A.,Retitalia,42.49801,14.17217
21048,PETROLIFERA ADRIATICA S.P.A.,Retitalia,42.45479,14.22610
34045,COSTANTINI GROUP S.A.S. DI GIUSEPPE COSTANTINI & C.,Agip Eni,42.45884,14.11634
33337,X FUEL S.R.L.,Pompe Bianche,42.24646,13.93997
22472,M.B. CARBURANTI S.A.S. DI BACCHI E MERCANTINI,Pompe Bianche,43.06495,12.52558
37270,LA SOSTA S.R.L.,Pompe Bianche,42.82097,12.68682
34637,LA SOSTA S.R.L.,Total Erg,42.85504,12.36953
14667,S.A.C.A.T. - SOCIETA' AUTONOMA CARBURANTI ED AFFINI TERNANA S.R.L.,Pompe Bianche,43.25311,12.76500
40489,PETROLIFERA ADRIATICA S.P.A.,Retitalia,43.11836,12.39958
10433,SARTORINI STEFANO,Api-Ip,42.74016,12.73535
19817,CEPPATELLI GIOVANNI,Q8,43.39943,10.86027
4817,ZETAGAS  DI ZANELLA GIOVANNI & C. S.A.S.,Total Erg,45.96830,12.54346
37754,FULL SERVICE S.A.S. DI BONTI ATHOS E C.,Esso,43.87057,11.11051
16031,SCARPELLI DARIO,Total Erg,43.87347,11.06098
17249,RICCARDI LINO  SERGIO E C. - S.N.C.,Pompe Bianche,44.78778,10.30071
14398,"C.I.S. NORD S.R.L.",Euroself,44.81233,10.31531
16995,BEGHINI ROBERTO,Total Erg,44.51958,10.19836
13426,PUCCIANTI FABRIZIO,Api-Ip,43.94031,10.92701
29791,ALA CARBURANTI S.R.L.,Api-Ip,43.96395,10.89746
37988,BARZAGLI  PATRIK E C. S.N.C.,Api-Ip,43.86267,10.94374
29222,PENTA PETROLI SRL,Esso,43.63574,12.89893
13640,ACEMA S.P.A.,Api-Ip,43.85260,12.59802
38226,GOLDENGAS - SOCIETA' PER AZIONI,Total Erg,43.77011,12.67287
8658,LA GACCIA PAOLO,Agip Eni,45.07239,9.27005
37891,BENZOIL SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Pompe Bianche,45.03720,9.29957
40704,APPIA CARBURANTI - S.A.S. DI FRANCESCO SANTANGELO & C.,Api-Ip,40.58662,16.03764
17828,VISANI CARBURANTI DI VISANI VALERIO E C. S.A.S.,Tamoil,44.20521,11.73918
34035,HASANAJ ERALD,Agip Eni,44.27407,11.91167
9667,CH4 SERVICE DI ORIANI ERMENEGILDO,Esso,44.41947,11.93572
28464,T.D.M. S.R.L.,Tamoil,44.55466,12.27848
12349,NERI GIANNI,Tamoil,44.27621,11.72771
36745,OMEGA S.N.C. DI MANCUSO E PELLICANO',Q8,38.08246,15.64740
35727,LUSOLI DAVIDE,Api-Ip,44.61904,10.60889
13139,LUCKY E JOHN SNC DI SPISNI GIAN LUCA E DROGO,Euroself,44.77068,10.66658
24478,BRAZZIOLI STEFANO,Api-Ip,44.41395,10.62716
15297,OVI LICINIO ROSSANO,Total Erg,44.48453,10.68058
5088,COSTI ENRICA,Total Erg,44.44422,10.44561
7851,BIGGI EMI S.A.S. DI PROTTI CARLA E C.,Total Erg,44.44422,10.44559
10987,P.F. DI FIORDALISI CARLO FRANCESCO & C. SNC,Tamoil,44.70650,10.63850
30729,EN.PI. S.N.C. DI IEZZI A.,Euroself,44.70642,10.65884
11230,SASSI MORENA,Total Erg,44.74274,10.50410
14438,"C.I.S. NORD S.R.L.",Euroself,44.70506,10.59362
14429,"C.I.S. NORD S.R.L.",Euroself,44.70586,10.61043
14399,"C.I.S. NORD S.R.L.",Repsol,44.67153,10.66027
19282,BARALDI MATTEO E MARIO S.N.C.,Tamoil,44.88469,10.86228
5574,GIAVELLI S.A.S. DI GIAVELLI ROSSANO & C.,Api-Ip,44.59130,10.72083
17542,TENEGGI LAURA,Api-Ip,44.37512,10.56580
12485,LODI ENZO COSTANTE ANICETO,Api-Ip,44.48301,10.33994
40240,GALI GROUP TRASPORTI & LOGISTICA S.R.L.,Pompe Bianche,36.76093,14.89553
37916,BLANCO PETROLI S.R.L.,Blanco petroli,36.86997,14.74638
19978,GURRIERI SANDRA,Agip Eni,36.79311,14.55201
30086,PENTA PETROLI SRL,Esso,42.62870,13.28648
38081,PETROL SOCIETY- SOCIETA A RESPONSABILITA LIMITATA,MyOil,42.25207,12.81089
27029,C & C PETROLI S.R.L.,CP,42.41236,12.88678
19893,GINESTRETO S.A.S. DI GUADAGNO DORIANA & C.,Total Erg,41.68577,12.65245
4534,TOMMY OIL S.N.C. DI MARANGIO MASSIMO,Tamoil,42.07900,12.20291
32753,MILITA CRISTINA,Pompe Bianche,41.86299,12.95109
36351,"IP SERVICES S.R.L.",Api-Ip,41.93384,12.16309
40958,PGM GAS S.R.L.,Total Erg,41.81172,12.66813
3598,LA VELA OVEST - SOCIETA' A RESPONSABILITA' LIMITATA,Shell,41.88824,12.75997
30021,CORO S.R.L.,Total Erg,42.01000,12.76208
38973,DI FABIO CHIARA,Agip Eni,41.66996,12.49351
23787,VERDINI GIUSEPPE E C. DI GIUSEPPE VERDINI S.N.C.,Api-Ip,42.20866,12.48232
24832,ENI FUEL S.P.A.,Agip Eni,41.85566,12.47756
37238,FIORAMONTI ERMANO,7sette,41.86490,12.53112
20682,AGIP CASSIA DI NERONI GIORGIO E TITO S.N.C.,Agip Eni,41.98602,12.40580
36631,ANAGNINA CARBURANTI 90 SOCIETA' A RESPONSABILITA' LIMITATA,Agip Eni,41.80643,12.63175
38556,D.A.R.M. PETROLI S.R.L.,Pompe Bianche,41.89222,12.43766
23327,ENERPETROLI S.R.L.,Enerpetroli,41.94896,12.41402
23306,ENERPETROLI S.R.L.,Enerpetroli,41.86720,12.46758
23907,PIT STOP DI  LACOPO STEFANO SNC,Agip Eni,41.94572,12.52647
40033,TOFANI DANIELA,Agip Eni,41.87908,12.67103
19719,EREDI DI SANTOSUOSSO CARMINE S.N.C.,Agip Eni,41.83097,12.59661
39020,SICILIANI MASSIMILIANO,Api-Ip,41.94616,12.47346
38943,SICILIANI MASSIMILIANO,Api-Ip,41.85596,12.48338
35405,GARGARI RENZO,Api-Ip,41.87671,12.45941
37015,ISLAM SAIFUL,Api-Ip,41.92378,12.51509
36906,MASUM BABUL,Api-Ip,41.94610,12.51700
36907,MASUM BABUL,Api-Ip,41.94799,12.52553
27033,TROTTA EMILIO DANIEL,Api-Ip,41.93285,12.58974
30930,"IP SERVICES S.R.L.",Api-Ip,41.86121,12.46536
36969,HOSSAIN MOKTAR,Api-Ip,41.85781,12.56637
8645,CORO S.R.L.,Total Erg,41.93218,12.42031
29472,CORO S.R.L.,Total Erg,41.88849,12.54234
36622,NICKI CARBURANTI S.R.L.,Pompe Bianche,41.90363,12.41713
19934,GATTUSO DANIELE,Q8,41.89279,12.54123
28045,"IP SERVICES S.R.L.",Api-Ip,41.85377,12.49819
12172,S.I.R.P.-S.N.C. DI IAFOLLA FLAMINIO & C.,Esso,41.86416,12.45682
19092,FIDELITY S.A.S. DI ORSINO DEBORA E C.,Q8,41.93476,12.62428
38800,VENTIQUINDICI  - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Api-Ip,41.89751,12.43337
36809,VENTIQUINDICI  - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Api-Ip,41.87397,12.48700
36625,TIBER OIL S.R.L.,Agip Eni,41.87366,12.57182
38944,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.82681,12.51858
39498,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.93085,12.51703
39496,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.92516,12.41397
39500,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.89426,12.43121
35790,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.84953,12.48852
35796,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.92338,12.52022
39499,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.82029,12.47356
39828,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.73348,12.28029
39386,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.86585,12.47886
38707,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.93615,12.43624
35792,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.85960,12.49041
35791,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.85709,12.49654
39497,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.90780,12.51471
35793,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.86718,12.54078
39864,TERMO TRADING PETROLI S.R.L.,Pompe Bianche,41.86298,12.44716
21998,TOP SERVICE 2013 DI MASSI ANDREA SAS,Total Erg,41.95240,12.72715
35510,MAGLIOCCA STEFANIA,Agip Eni,41.76377,12.91664
26709,C.B. PETROLI S.N.C. DI CUCCHI FABRIZIO E BASCHETTI GIUSEPPE,Tamoil,44.15214,12.44771
20628,AREA SERVICE  DI CAVALLI ALVER  PETRUCCI E MATTIOLI S.N.C.,Esso,43.98174,12.68280
39124,SG PETROLI S.R.L.,Pompe Bianche,44.97566,11.75675
25338,SAN MARCO PETROLI DISTRIBUZIONE S.R.L.,San Marco Petroli,44.94314,11.54096
30527,FILERI GINA,Agip Eni,40.43933,15.56754
28212,D'AMBROSIO ANTONINO,Agip Eni,40.62781,15.09727
34219,BAR ARMENIA DI FEDERICO ANGELO & C. - S.A.S.,Pompe Bianche,40.42551,15.07677
38780,CARBURANTI ORLANDO S.A.S. DI TROTTA ROSARIA,Tamoil,40.51135,15.49271
34531,LOGISTICA & PETROLI S.R.L.,Pompe Bianche,40.60159,14.86500
27755,FUSCO ROMOLO,Total Erg,40.62785,14.49035
7497,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,40.41093,15.56918
37337,TROTTA ROSARIA,Tamoil,40.36510,15.61647
36667,PREZIOSO ANNA,Api-Ip,40.65423,14.85911
30607,STAZIONE DI SERVIZIO DI CANOCCHI STEFANO,Win,43.34115,11.04944
37962,ALA CARBURANTI S.R.L.,Esso,43.41201,11.11219
33825,ALA CARBURANTI S.R.L.,Esso,43.41969,11.09976
19443,NISI FRANCO E GENERALI MARCO S.N.C.,Tamoil,43.05942,11.60870
16564,AUTOSTOP DI FONTANI SILVANO,Esso,43.21458,11.75363
7145,GHEZZA FABIO E ROBERTO S.N.C.,Total Erg,46.32169,9.39800
9878,LANDI ALESSANDRA,Total Erg,44.04997,10.00905
27802,SERVIZI INTEGRATI S.R.L.,SP Energia Siciliana,37.07714,15.17085
37327,FIORILLA FRANCESCO,Q8,37.07129,15.27217
13528,MA.GI. S.N.C. DI MARCHESE MARIA ANGELA & C.,Total Erg,44.13015,8.24603
3592,SCORZA GB SAS DI SCORZA GIUSEPPE E SCORZA MONICA & C.,Total Erg,44.36914,8.61083
39103,D'OIL S.R.L.,Api-Ip,40.48134,17.39233
13097,ITALIANA CARBURANTI S.P.A.,Q8,40.67387,16.93632
13086,ITALIANA CARBURANTI S.P.A.,Pompe Bianche,40.43487,17.47480
30792,G.M. DI GIOVANNI MACRI' S.A.S.,Pompe Bianche,40.39608,17.44825
27515,LIGORIO MARIANNA,Pompe Bianche,40.61712,17.43193
31329,G.G. OIL S.R.L.,Q8,40.44131,17.26224
13098,ITALIANA CARBURANTI S.P.A.,Pompe Bianche,40.41437,17.26509
29961,TARAS OIL S.R.L.,Q8,40.45981,17.26801
40348,B.T. SRLS,Total Erg,42.52911,13.65643
17723,COLETTI GABRIELLA,Api-Ip,42.55956,13.92214
17183,CARTA ANGELO,Total Erg,42.61945,13.77833
23760,GIONTA NICOLA,Api-Ip,46.31151,10.75066
23663,DI PALMA PETROLI S.N.C. DI ANGELO E GIUSEPPE DI PALMA,Agip Eni,45.88514,10.84766
22276,BURLON ALTENIO E BURLON DIEGO S.N.C.,Pompe Bianche,46.06922,11.48275
37904,SAN MARCO PETROLI DISTRIBUZIONE S.R.L.,San Marco Petroli,46.06922,11.48277
40234,STAZIONE DI SERVIZIO SALOMONE DI SALOMONE GIUSEPPE,Europam,45.10672,7.40095
36617,SIRTAM S.P.A.,Tamoil,45.16029,7.63938
39818,LANCELLOTTI DOMENICO,Agip Eni,44.99486,7.80624
14869,TATULLO EDOARDO,Total Erg,45.38191,7.66413
6094,MITTICA DI MITTICA GIOVANNI & C. S.N.C.,Agip Eni,44.94562,7.72081
35767,SIRTAM S.P.A.,Tamoil,44.90521,7.85509
17869,AUTOSERVIZI ROSA DI CARERI ROSA MARIA & C. S.N.C.,Total Erg,45.20386,7.63669
15668,ROLANDO RENATO & C. SNC SIGLABILE ROLANDO & C. SNC,Total Erg,44.90570,7.43744
10678,PAGANO CARMELO,Agip Eni,45.03891,7.68183
15030,BASILETTI FRANCO,Europam,45.05713,7.66843
32916,EUROPAM S.P.A.,Europam,45.03984,7.64689
36384,EUROPAM S.P.A.,Europam,45.06198,7.62981
40232,STAZIONE DI SERVIZIO SALOMONE DI SALOMONE GIUSEPPE,Europam,45.08237,7.62451
5014,TRIA GIUSEPPE,Agip Eni,45.04361,7.62942
10788,DI TRIA SABINO,Total Erg,45.03348,7.67985
29867,PASSERO'RENATO,Total Erg,45.08308,7.66958
33874,LEONE CARMELINA,Total Erg,45.07027,7.70385
39813,CARONE SANDRO,Total Erg,45.05895,7.68749
33536,TRIPODI CARMELO,Agip Eni,45.10428,7.67964
33696,CATALANO MARIA GRAZIA,Esso,37.67317,12.79175
37598,MICELI VITO,Q8,37.75355,13.00755
35089,ROMANO GIUSEPPE  E C. S.A.S.,Q8,38.01981,12.53715
28190,"IP SERVICES S.R.L.",Api-Ip,38.00973,12.56224
19516,GARGAGLI VALENTINO,Total Erg,42.57616,12.57450
37221,DA.LE. S.A.S. DI DAVID VIOLA & C.,Agip Eni,45.62707,13.79430
36026,DA.LE. S.A.S. DI DAVID VIOLA & C.,Total Erg,45.63935,13.76030
11973,POLONIATO GUIDO,Esso,45.77560,12.03423
38984,GARRUZZO GROUP DI RASO MARIA VINCENZA & C. SNC,Pompe Bianche,45.75814,12.61543
35019,AUTOFFICINA MIOTTO DI MIOTTO ANDREA & C. S.A.S.,Noaloil,45.68944,12.12456
12193,BENEDETTI LUIGI,Pompe Bianche,45.89894,12.17416
19697,CERON RENATO,Esso,45.74983,12.10718
7328,SOM S.P.A.,Agip Eni,46.28134,13.08071
33288,GESTIONI INNOVATIVE ITALIA S.R.L.,Agip Eni,46.05586,13.20114
38725,ALBERTI LUIGI E C. S.R.L.,Tamoil,45.64318,8.99560
7149,GUGGIROLI DOMENICO,Q8,45.89108,8.63420
38744,PREALPINA DISTRIBUZIONE CARBURANTI S.R.L.,Pompe Bianche,45.63162,8.89833
41028,EUROPAM S.P.A.,Pompe Bianche,45.72615,8.26648
3487,PINO DI PINO DOMENICO & C. - S.N.C.,Api-Ip,45.28717,8.03403
5578,AMETRANO RAFFAELE,Total Erg,45.37415,8.15076
39631,PASTORE GIUSEPPE,Agip Eni,45.32415,8.40338
8805,DONA' ROBERTO,Pompe Bianche,45.32756,12.04590
12257,F.LLI VIANELLO S.R.L.,Pompe Bianche,45.41642,12.02534
4885,ZAMPIERON TIZIANO,Repsol,45.78862,12.75078
8914,BELLAGAMBA SANDRO,Costantin,45.80568,11.35897
37237,PERIN FRANCESCO,Perin,45.58540,11.48914
31919,SEBELLIN MICHELE,Esso,45.81876,11.71537
40106,FACCI EMILIO S.R.L.,Costantin,45.73992,11.26265
34579,SG PETROLI S.R.L.,Pompe Bianche,45.11998,11.41246
5920,TotalErg SpA,Total Erg,45.42993,10.71466
32857,SALVETTI RETE S.R.L.,Tamoil,45.54073,10.77955
35202,LORO F.LLI-S.P.A.,Loro,45.41569,11.17829
39950,VENTURINI LUCA,Api-Ip,45.40506,11.27707
10498,MOLESINI GIORGIO,Agip Eni,45.45760,10.90226
36192,MOLESINI GIORGIO,Agip Eni,45.44911,10.98416
35692,ESSO TRUCK SERVICE DI DONEDDU ANTONIO TOMMASO & C. S.A.S.,Esso,45.40146,10.98810
38450,AXEL MOTORS DI ILIE BOGDAN ALEXANDRU,Retitalia,45.42312,10.99028
27072,DELTA ENERGY S.R.L.,Tamoil,45.13943,11.35925
30102,METANAUTO ZIMELLA S.R.L.,Pompe Bianche,45.33796,11.37558
40938,PETROLIFERA ADRIATICA S.P.A.,Esso,39.67768,8.98285
8199,ISOLA GAS SOCIETÀ A RESPONSABILITÀ LIMITATA CON DENOMINAZIONE ABBREVIATA " ISOLA GAS S.R.L."",Pompe Bianche,39.51973,8.91007
26773,TIBER S.R.L.,Total Erg,42.45983,12.37797
36349,MAZZA VINCENZO,Q8,38.69525,16.14372
